AAEL000001	bystin
AAEL000002	hypothetical protein
AAEL000003	conserved hypothetical protein
AAEL000004	glycosyltransferase
AAEL000005	hypothetical protein
AAEL000006	phosphoenolpyruvate carboxykinase
AAEL000007	conserved hypothetical protein
AAEL000008	WD and tetratricopeptide repeat protein
AAEL000009	hypothetical protein
AAEL000010	ribosomal protein L36, putative
AAEL000011	conserved hypothetical protein
AAEL000012	AaGr6
AAEL000013	peptidyl-prolyl cis-trans isomerase (cyclophilin)
AAEL000014	cyclic-nucleotide-gated cation channel
AAEL000015	PHD finger transcription factor
AAEL000016	UPF0483 protein AAEL000016 
AAEL000017	hypothetical protein
AAEL000018	conserved hypothetical protein
AAEL000019	conserved hypothetical protein
AAEL000020	conserved hypothetical protein
AAEL000021	conserved hypothetical protein
AAEL000022	conserved hypothetical protein
AAEL000023	hypothetical protein
AAEL000024	dopachrome-conversion enzyme (DCE), putative
AAEL000025	phosphoenolpyruvate carboxykinase
AAEL000026	dynein light chain, putative
AAEL000027	conserved hypothetical protein
AAEL000028	Clip-domain serine protease, family B
AAEL000029	dopachrome-conversion enzyme (DCE), putative
AAEL000030	Clip-domain serine protease, putative
AAEL000031	conserved hypothetical protein
AAEL000032	40S ribosomal protein S6 
AAEL000033	conserved hypothetical protein
AAEL000034	meiotic recombination repair protein 11 (mre11)
AAEL000035	odorant-binding protein 56e, putative
AAEL000036	hypothetical protein
AAEL000037	Clip-domain serine protease, family B
AAEL000038	Clip-domain serine protease, family B
AAEL000039	conserved hypothetical protein
AAEL000040	elastase, putative
AAEL000041	forkhead box protein (AaegFOXM2)
AAEL000042	conserved hypothetical protein
AAEL000043	gustatory receptor 64e, putative
AAEL000044	ornithine decarboxylase
AAEL000045	NMDA receptor glutamate-binding chain
AAEL000046	conserved hypothetical protein
AAEL000047	conserved hypothetical protein
AAEL000048	AaGr4
AAEL000049	three prime repair exonuclease 1, putative
AAEL000050	conserved hypothetical protein
AAEL000051	odorant-binding protein 56e, putative
AAEL000052	conserved hypothetical protein
AAEL000053	myotubularin
AAEL000054	mixed-lineage leukemia protein, mll
AAEL000055	conserved hypothetical protein
AAEL000056	conserved hypothetical protein
AAEL000057	Toll-likeReceptor.
AAEL000058	hypothetical protein
AAEL000059	Clip-domain serine protease, family B. Protease homologue.
AAEL000060	AaGr7
AAEL000061	hypothetical protein
AAEL000062	adenylate cyclase
AAEL000063	conserved hypothetical protein
AAEL000064	dopachrome-conversion enzyme (DCE) isoenzyme, putative
AAEL000065	conserved hypothetical protein
AAEL000066	conserved hypothetical protein
AAEL000067	hypothetical protein
AAEL000068	ribosomal protein S25, putative
AAEL000069	gustatory receptor 64a, putative
AAEL000070	conserved hypothetical protein
AAEL000071	odorant-binding protein 56a, putative
AAEL000072	hypothetical protein
AAEL000073	odorant-binding protein 56e, putative
AAEL000074	Clip-domain serine protease, family B.
AAEL000075	AaGr9
AAEL000076	dimethyladenosine transferase
AAEL000077	cation efflux protein/ zinc transporter
AAEL000078	conserved hypothetical protein
AAEL000079	hypothetical protein
AAEL000080	phosphoenolpyruvate carboxykinase
AAEL000081	peroxisome assembly factor-2 (peroxisomal-type ATPase 1)
AAEL000082	AaGr10
AAEL000083	conserved hypothetical protein
AAEL000084	elongin b
AAEL000085	pupal cuticle protein, putative
AAEL000086	Clip-domain serine protease, family B.
AAEL000087	macroglobulin/complement
AAEL000088	brefeldin A-sensitive peripheral Golgi protein, putative
AAEL000089	conserved hypothetical protein
AAEL000090	secretory carrier-associated membrane protein (scamp)
AAEL000091	sumo-1-activating enzyme E1a
AAEL000092	glutathionetransferase
AAEL000093	conserved hypothetical protein
AAEL000094	hypothetical protein
AAEL000095	conserved hypothetical protein
AAEL000096	conserved hypothetical protein
AAEL000097	n-acetylneuraminate synthetase
AAEL000098	hypothetical protein
AAEL000099	Clip-domain serine protease, family B.
AAEL000100	hypothetical protein
AAEL000101	AMP dependent coa ligase
AAEL000102	conserved hypothetical protein
AAEL000103	conserved hypothetical protein
AAEL000104	notum
AAEL000105	beta-alanine synthase, putative
AAEL000106	conserved hypothetical protein
AAEL000107	hypothetical protein
AAEL000108	leucine aminopeptidase
AAEL000109	Enolase-phosphatase E1 (EC 3.1.3.77)(2,3-diketo-5-methylthio-1-phosphopentane phosphatase)
AAEL000110	conserved hypothetical protein
AAEL000111	nitrilase, putative
AAEL000112	conserved hypothetical protein
AAEL000113	conserved hypothetical protein
AAEL000114	nucleoprotein, putative
AAEL000115	conserved hypothetical protein
AAEL000116	conserved hypothetical protein
AAEL000117	conserved hypothetical protein
AAEL000118	cleavage and polyadenylation specificity factor
AAEL000119	AMP dependent coa ligase
AAEL000120	hypothetical protein
AAEL000121	dihydropyridine-sensitive l-type calcium channel
AAEL000122	conserved hypothetical protein
AAEL000123	conserved hypothetical protein
AAEL000124	conserved hypothetical protein
AAEL000125	hypothetical protein
AAEL000126	molybdopterin cofactor synthesis protein a
AAEL000127	AMP dependent coa ligase
AAEL000128	P130
AAEL000129	hypothetical protein
AAEL000130	nucleoprotein, putative
AAEL000131	sterol desaturase
AAEL000132	AMP dependent coa ligase
AAEL000133	conserved hypothetical protein
AAEL000134	conserved hypothetical protein
AAEL000135	sterol desaturase
AAEL000136	conserved hypothetical protein
AAEL000137	conserved hypothetical protein
AAEL000138	NADH dehydrogenase, putative
AAEL000139	conserved hypothetical protein
AAEL000140	conserved hypothetical protein
AAEL000141	immunophilin FKBP46, putative
AAEL000142	hypothetical protein
AAEL000143	conserved hypothetical protein
AAEL000144	conserved hypothetical protein
AAEL000145	hypothetical protein
AAEL000146	nitrilase, putative
AAEL000147	single-stranded DNA binding protein, putative
AAEL000148	conserved hypothetical protein
AAEL000149	Histone deacetylase complex subunit SAP30 homolog 
AAEL000150	nitrilase, putative
AAEL000151	conserved hypothetical protein
AAEL000152	conserved hypothetical protein
AAEL000153	conserved hypothetical protein
AAEL000154	conserved hypothetical protein
AAEL000155	hypothetical protein
AAEL000156	conserved hypothetical protein
AAEL000157	hypothetical protein
AAEL000158	T-box transcription factor tbx2
AAEL000159	nipsnap
AAEL000160	hypothetical protein
AAEL000161	conserved hypothetical protein
AAEL000162	AaGr34
AAEL000163	mitochondrial inner membrane protein translocase, 22kD-subunit, putative
AAEL000164	d-amino acid oxidase
AAEL000165	conserved hypothetical protein
AAEL000166	conserved hypothetical protein
AAEL000167	hypothetical protein
AAEL000169	T-box transcription factor tbx2
AAEL000170	hypothetical protein
AAEL000171	hypothetical protein
AAEL000172	hypothetical protein
AAEL000173	chromatin assembly factor-I p150 subunit, putative
AAEL000174	retinal protein
AAEL000175	Eukaryotic translation initiation factor 3 subunit C (eIF3c)(Eukaryotic translation initiation factor 3 subunit 8)
AAEL000176	conserved hypothetical protein
AAEL000178	ubiquinone/menaquinone biosynthesis methyltransferase
AAEL000179	ubiquitin-conjugating enzyme E2 l
AAEL000180	mitochondrial ribosomal protein, L17, putative
AAEL000181	polybromo-1
AAEL000182	conserved hypothetical protein
AAEL000183	hypothetical protein
AAEL000184	conserved hypothetical protein
AAEL000185	eukaryotic translation initiation factor
AAEL000186	conserved hypothetical protein
AAEL000187	lim-kinase1
AAEL000188	elongase, putative
AAEL000189	T-box transcription factor tbx2
AAEL000190	trypsin
AAEL000191	conserved hypothetical protein
AAEL000192	hypothetical protein
AAEL000193	histone-lysine n-methyltransferase
AAEL000194	phosphatidylinositol 4-kinase
AAEL000195	conserved hypothetical protein
AAEL000196	conserved hypothetical protein
AAEL000197	hypothetical protein
AAEL000199	arginyl-tRNA synthetase
AAEL000200	conserved hypothetical protein
AAEL000201	DNA replication helicase dna2
AAEL000202	T-box protein
AAEL000203	trypsin
AAEL000204	conserved hypothetical protein
AAEL000206	ninjurin A, putative
AAEL000207	hypothetical protein
AAEL000208	copii-coated vesicle membrane protein P24
AAEL000209	conserved hypothetical protein
AAEL000210	mitochondrial ribosomal protein L2
AAEL000211	conserved hypothetical protein
AAEL000212	conserved hypothetical protein
AAEL000213	d-amino acid oxidase
AAEL000214	vacuolar protein sorting (vps33)
AAEL000215	ribonuclease P, 29kD-subunit, putative
AAEL000216	elongase, putative
AAEL000217	serine/threonine protein kinase
AAEL000218	hypothetical protein
AAEL000219	lactoylglutathione lyase
AAEL000220	conserved hypothetical protein
AAEL000221	mediator complex, subunit, putative
AAEL000222	conserved hypothetical protein
